doc_id,chunk_id_global,neighbor_jaccard_at_k,neighbor_spearman_on_overlap
Grampian-2022-2023,Grampian-2022-2023:p0104_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0104_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0105_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0105_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0105_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0106_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0106_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0107_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0107_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0108_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0108_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0109_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0109_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0109_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0110_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0110_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_p0111,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_p0112,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_ocr_p0113,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_ocr_p0114,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0115_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0115_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0115_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0115_003,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_p0116,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_ocr_p0117,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_ocr_p0118,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_ocr_p0119,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_ocr_p0120,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0121_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0121_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0121_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0121_003,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_p0122,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_ocr_p0123,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_p0124,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_ocr_p0125,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_ocr_p0126,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_ocr_p0127,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_ocr_p0128,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_p0129,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0130_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0131_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0131_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_p0132,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0133_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0133_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0133_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0134_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0134_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0134_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0135_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0135_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_ocr_p0136,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_ocr_p0137,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0138_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0138_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0139_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0139_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_p0140,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0141_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0141_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0141_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0142_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0142_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0142_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0143_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_ocr_p0144,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0145_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0145_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_p0146,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0147_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0147_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0147_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0148_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0148_001,0.8181818181818182,1.0
Grampian-2022-2023,Grampian-2022-2023:p0148_002,0.8181818181818182,0.9954736269412082
Grampian-2022-2023,Grampian-2022-2023:table_ocr_p0149,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_ocr_p0150,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_ocr_p0151,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0152_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0153_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0153_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0153_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0154_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0002_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0003_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0003_001,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0003_002,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0004_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0004_001,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0004_002,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0005_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0005_001,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0006_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0006_001,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0008_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0008_001,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0009_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0010_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0010_001,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0011_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0012_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0013_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0014_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0015_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0016_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0016_001,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0017_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0018_000,0.8181818181818182,0.9954736269412082
Grampian-2023-2024,Grampian-2023-2024:p0019_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0020_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0020_001,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0021_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0022_000,1.0,0.9878787878787879
Grampian-2023-2024,Grampian-2023-2024:p0022_001,0.8181818181818182,0.7617647058823531
Grampian-2023-2024,Grampian-2023-2024:p0023_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0023_001,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0024_000,0.8181818181818182,0.6534973783646051
Grampian-2023-2024,Grampian-2023-2024:p0024_001,0.6666666666666666,0.3608810307366151
Grampian-2023-2024,Grampian-2023-2024:p0025_000,0.3333333333333333,0.9909049012718053
Grampian-2023-2024,Grampian-2023-2024:p0026_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0026_001,0.8181818181818182,0.9950982806915577
Grampian-2023-2024,Grampian-2023-2024:p0027_000,0.8181818181818182,0.9959292143521046
Grampian-2023-2024,Grampian-2023-2024:p0027_001,0.8181818181818182,0.9959292143521044
Grampian-2023-2024,Grampian-2023-2024:p0027_002,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0028_000,1.0,1.0
